effect,group,term,estimate,std.error,statistic,p.value,Repeat
fixed,NA,(Intercept),-0.25172572088662315,0.1423393261515453,-1.7684903230370557,0.07697896854673705,1
fixed,NA,categorythe Others,0.040352985086044,0.08048064645686555,0.5013998627318632,0.6160897363893927,1
ran_pars,participant_name,sd__(Intercept),0.751512757107325,NA,NA,NA,1
fixed,NA,(Intercept),-0.42094521542182745,0.1360897448239237,-3.0931442774505666,0.001980478255010597,2
fixed,NA,categorythe Others,0.20663253385814911,0.08093697955832571,2.553005251564191,0.01067978859561469,2
ran_pars,participant_name,sd__(Intercept),0.7015967052451728,NA,NA,NA,2
fixed,NA,(Intercept),-0.16235863896400166,0.133794599141631,-1.2134917254181061,0.22494187607849822,3
fixed,NA,categorythe Others,-0.04404543205061425,0.07989335623540383,-0.5513028132256136,0.5814261103204018,3
ran_pars,participant_name,sd__(Intercept),0.6887680010259801,NA,NA,NA,3
fixed,NA,(Intercept),-0.21111508596488088,0.13471573479417467,-1.5671152763812846,0.11708774907640165,4
fixed,NA,categorythe Others,-0.035761711666251736,0.08008671093466109,-0.4465373998868302,0.6552091031518875,4
ran_pars,participant_name,sd__(Intercept),0.6950144428093645,NA,NA,NA,4
fixed,NA,(Intercept),-0.22937416304071856,0.1319638630043995,-1.7381589006156295,0.0821828187310017,5
fixed,NA,categorythe Others,-0.006267931118579462,0.07976193484840882,-0.07858298736724416,0.9373643198008976,5
ran_pars,participant_name,sd__(Intercept),0.6749735147703573,NA,NA,NA,5
fixed,NA,(Intercept),-0.13201716503960897,0.13968153312084075,-0.9451296967466615,0.34459266586935755,6
fixed,NA,categorythe Others,-0.08083353264796808,0.08039671921791197,-1.0054332245681834,0.31468828821599026,6
ran_pars,participant_name,sd__(Intercept),0.7319371533045913,NA,NA,NA,6
fixed,NA,(Intercept),-0.1861992000800241,0.14150327720469444,-1.3158649308925465,0.1882193811471875,7
fixed,NA,categorythe Others,-0.07498466172206608,0.08049119268485634,-0.9315884039096086,0.3515492782330876,7
ran_pars,participant_name,sd__(Intercept),0.7452802773615372,NA,NA,NA,7
fixed,NA,(Intercept),-0.13849471150639042,0.14512260129010943,-0.9543290312825262,0.3399171172028179,8
fixed,NA,categorythe Others,-0.07223797436352802,0.08102031414716133,-0.8916032370883986,0.3726056344713811,8
ran_pars,participant_name,sd__(Intercept),0.7706519613795564,NA,NA,NA,8
fixed,NA,(Intercept),-0.12226387001902256,0.13976876631959229,-0.874758168355415,0.3817055026417315,9
fixed,NA,categorythe Others,-0.10773741032006817,0.0803546427266938,-1.3407739324597583,0.17999386211166166,9
ran_pars,participant_name,sd__(Intercept),0.7327655478810723,NA,NA,NA,9
fixed,NA,(Intercept),-0.21868576721861918,0.13700429121739424,-1.5961964787775536,0.11044493353551493,10
fixed,NA,categorythe Others,0.030534461953048757,0.08032782018887098,0.38012312398437464,0.7038540214010612,10
ran_pars,participant_name,sd__(Intercept),0.7116327543231524,NA,NA,NA,10
fixed,NA,(Intercept),-0.36500750136844273,0.14343473639997809,-2.5447636362686445,0.010935173001642845,11
fixed,NA,categorythe Others,0.1473451840506656,0.08134259782152013,1.8114147813912542,0.0700766695807048,11
ran_pars,participant_name,sd__(Intercept),0.7562567512023044,NA,NA,NA,11
fixed,NA,(Intercept),-0.19613852140667748,0.1356542237439709,-1.4458710978057163,0.14821335979929007,12
fixed,NA,categorythe Others,-0.015120198167239439,0.07995031758310064,-0.18911992627825963,0.8499988243815274,12
ran_pars,participant_name,sd__(Intercept),0.7027701343648793,NA,NA,NA,12
fixed,NA,(Intercept),-0.19819872901618668,0.13658202834287653,-1.4511332963852839,0.14674274649553878,13
fixed,NA,categorythe Others,-0.02876179623761175,0.08001605599585462,-0.3594503113112924,0.7192582430795016,13
ran_pars,participant_name,sd__(Intercept),0.7096107943936472,NA,NA,NA,13
fixed,NA,(Intercept),-0.3146972009585731,0.13525431396669196,-2.3267073095803155,0.019980848554258565,14
fixed,NA,categorythe Others,0.06292258685040011,0.08050386803591543,0.7816094851781318,0.43444411082135037,14
ran_pars,participant_name,sd__(Intercept),0.6972403957318918,NA,NA,NA,14
fixed,NA,(Intercept),-0.1336721340219133,0.13891193058570228,-0.9622797225429369,0.33590911197245177,15
fixed,NA,categorythe Others,-0.07472904907276273,0.08022824203084657,-0.9314556468036596,0.35161791739140935,15
ran_pars,participant_name,sd__(Intercept),0.7267365508349295,NA,NA,NA,15
fixed,NA,(Intercept),-0.2888202927337077,0.13993871315857262,-2.063905592774951,0.03902666837718861,16
fixed,NA,categorythe Others,0.08903854347117345,0.08074571806437383,1.102702974295036,0.27015617472802356,16
ran_pars,participant_name,sd__(Intercept),0.7322541224478079,NA,NA,NA,16
